npi,provider_type,state,entity_code,anomaly_score_raw,isolation_forest_anomaly_flag,risk_score_0_100,risk_category,lof_anomaly_flag,leie_excluded_match,top_risk_reasons
1003053851,Internal Medicine,CA,I,0.21199473302231253,1,100.0,Critical,0,0,unusually high total Medicare payment received (z=4816.9 vs. population median); unusually high total submitted charges (z=1592.5 vs. population median); unusually high 5-year average total payment (z=1289.5 vs. population median)
1003133984,Nurse Practitioner,CA,I,0.18244062250365511,1,92.89,Critical,0,0,unusually high total Medicare payment received (z=479.2 vs. population median); unusually high 5-year average total payment (z=309.6 vs. population median); unusually high total submitted charges (z=194.2 vs. population median)
1003133901,Dermatology,KY,I,0.1564175616364436,1,86.63,Critical,0,0,unusually high total Medicare payment received (z=416.7 vs. population median); unusually high 5-year average total payment (z=339.3 vs. population median); unusually high total submitted charges (z=143.8 vs. population median)
1003002205,Certified Registered Nurse Anesthetist (CRNA),TX,I,0.15276485943319196,1,85.75,Critical,1,0,unusually high services-per-beneficiary deviation from specialty peers (z=6628.7 vs. population median); unusually high year-over-year payment change (z=781.0 vs. population median); unusually high multi-year payment trend (z=362.9 vs. population median)
1003086448,Rheumatology,MD,I,0.14861293363095585,1,84.76,Critical,0,0,unusually high drug-payment-share deviation from specialty peers (z=1104.0 vs. population median); unusually high total services billed (z=285.5 vs. population median); unusually high 5-year average total services (z=120.4 vs. population median)
1003128703,Hematology-Oncology,FL,I,0.14042703812231772,1,82.79,Critical,0,0,unusually high 5-year average total services (z=565.7 vs. population median); unusually high total services billed (z=296.3 vs. population median); unusually high 5-year average total payment (z=98.2 vs. population median)
1003109075,Rheumatology,MI,I,0.1336063033250663,1,81.15,Critical,0,0,unusually high drug-payment-share deviation from specialty peers (z=1185.5 vs. population median); unusually high services per beneficiary (z=170.5 vs. population median); unusually high total services billed (z=121.7 vs. population median)
1003031212,Hematology-Oncology,FL,I,0.12817095754790864,1,79.84,Critical,0,0,unusually high 5-year average total services (z=675.4 vs. population median); unusually high total services billed (z=538.4 vs. population median); unusually high 5-year average total payment (z=114.8 vs. population median)
1003036997,Orthopedic Surgery,MO,I,0.12573906632060272,1,79.25,Critical,0,0,unusually high drug-payment-share deviation from specialty peers (z=268.3 vs. population median); unusually high services per beneficiary (z=141.5 vs. population median); unusually high 5-year average services per beneficiary (z=132.6 vs. population median)
1003079997,Hematology-Oncology,IA,I,0.12061095645947306,1,78.02,Critical,0,0,unusually high total services billed (z=154.6 vs. population median); unusually high 5-year average total services (z=140.1 vs. population median); unusually high services per beneficiary (z=98.9 vs. population median)
1003028556,Neurology,CA,I,0.1191428351609286,1,77.67,Critical,0,0,unusually high total services billed (z=229.0 vs. population median); unusually high 5-year average total services (z=129.1 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=124.9 vs. population median)
1003133612,Ophthalmology,NY,I,0.11726708448261947,1,77.22,Critical,0,0,unusually high total Medicare payment received (z=79.1 vs. population median); unusually high total submitted charges (z=75.3 vs. population median); unusually high 5-year average total payment (z=71.0 vs. population median)
1003104381,Ambulance Service Provider,FL,O,0.11099303308035124,1,75.71,Critical,0,0,unusually high total submitted charges (z=242.9 vs. population median); unusually high services per billing code (z=115.8 vs. population median); unusually high total Medicare payment received (z=59.6 vs. population median)
1003058157,Neurology,NM,I,0.11040140977865809,1,75.56,Critical,0,0,unusually high services-per-beneficiary deviation from specialty peers (z=294.3 vs. population median); unusually high services per beneficiary (z=218.0 vs. population median); unusually high 5-year average services per beneficiary (z=191.9 vs. population median)
1003016916,Ophthalmology,MI,I,0.10956923968312626,1,75.36,Critical,0,0,unusually high 5-year average total payment (z=90.0 vs. population median); unusually high total Medicare payment received (z=87.3 vs. population median); unusually high total services billed (z=76.2 vs. population median)
1003099813,Medical Oncology,TX,I,0.10297939003534973,1,73.78,High,0,0,unusually high total services billed (z=133.3 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=132.4 vs. population median); unusually high 5-year average total services (z=128.3 vs. population median)
1003143801,Internal Medicine,IL,I,0.10287961388996059,1,73.76,High,0,0,unusually high services-per-beneficiary deviation from specialty peers (z=326.6 vs. population median); unusually high services per beneficiary (z=281.2 vs. population median); unusually high 5-year average services per beneficiary (z=257.4 vs. population median)
1003013848,Diagnostic Radiology,FL,I,0.09865461019014543,1,72.74,High,0,0,unusually high services-per-beneficiary deviation from specialty peers (z=215.8 vs. population median); unusually high total services billed (z=149.7 vs. population median); unusually high 5-year average total services (z=70.5 vs. population median)
1003013616,Neurology,SC,I,0.09677684391726116,1,72.29,High,0,0,unusually high services-per-beneficiary deviation from specialty peers (z=213.3 vs. population median); unusually high services per beneficiary (z=158.0 vs. population median); unusually high total services billed (z=152.9 vs. population median)
1003019019,Ophthalmology,MO,I,0.09553755639742523,1,71.99,High,0,0,unusually high 5-year average total payment (z=62.1 vs. population median); unusually high total Medicare payment received (z=58.9 vs. population median); unusually high total services billed (z=48.1 vs. population median)
1003058546,Urology,MN,I,0.09054410510608246,1,70.79,High,0,0,unusually high total services billed (z=157.4 vs. population median); unusually high 5-year average total services (z=115.9 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=43.6 vs. population median)
1003151671,Independent Diagnostic Testing Facility (IDTF),AL,O,0.09046163581781497,1,70.77,High,0,0,unusually high 5-year average total services (z=160.6 vs. population median); unusually high total services billed (z=159.8 vs. population median); unusually high services per beneficiary (z=34.9 vs. population median)
1003106824,Ophthalmology,IN,I,0.08660504227171428,1,69.84,High,0,0,unusually high total Medicare payment received (z=107.4 vs. population median); unusually high 5-year average total payment (z=80.1 vs. population median); unusually high total submitted charges (z=59.4 vs. population median)
1003090093,Diagnostic Radiology,NY,I,0.08543233297942443,1,69.56,High,0,0,unusually high services-per-beneficiary deviation from specialty peers (z=193.8 vs. population median); unusually high 5-year average total services (z=147.7 vs. population median); unusually high total services billed (z=140.5 vs. population median)
1003105677,Ophthalmology,MD,I,0.08230726403152022,1,68.81,High,0,0,unusually high total Medicare payment received (z=89.2 vs. population median); unusually high total submitted charges (z=54.5 vs. population median); unusually high 5-year average total payment (z=53.0 vs. population median)
1003115536,Physical Medicine and Rehabilitation,MO,I,0.07931123308748622,1,68.09,High,0,0,unusually high services per beneficiary (z=148.5 vs. population median); unusually high 5-year average services per beneficiary (z=87.3 vs. population median); unusually high total services billed (z=78.6 vs. population median)
1003078973,Gastroenterology,AZ,I,0.0780129776212466,1,67.77,High,0,0,unusually high services-per-beneficiary deviation from specialty peers (z=168.6 vs. population median); unusually high total services billed (z=36.0 vs. population median); unusually high multi-year service-volume trend (z=35.9 vs. population median)
1003002312,Rheumatology,MA,I,0.07785910802065132,1,67.74,High,1,0,unusually high drug-payment-share deviation from specialty peers (z=849.8 vs. population median); unusually high 5-year average services per beneficiary (z=106.6 vs. population median); unusually high 5-year average total services (z=103.0 vs. population median)
1003077389,Neurology,IL,I,0.0778662688426186,1,67.74,High,0,0,unusually high services-per-beneficiary deviation from specialty peers (z=86.5 vs. population median); unusually high services per beneficiary (z=64.1 vs. population median); unusually high total services billed (z=55.7 vs. population median)
1003134503,Neurology,MD,I,0.07521847710038876,1,67.1,High,0,0,unusually high year-over-year service volume change (z=122.3 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=78.5 vs. population median); unusually high multi-year service-volume trend (z=60.9 vs. population median)
1003077322,Family Practice,NY,I,0.07425537101698954,1,66.87,High,1,0,unusually high multi-year service-volume trend (z=559.2 vs. population median); unusually high 5-year average total services (z=483.7 vs. population median); unusually high multi-year payment trend (z=290.7 vs. population median)
